"","Estimate","Std. Error","t value"
"(Intercept)",10.5604240982858,0.326568782685021,32.3375186429605
"strokeAmp_cent_scaled",-0.788700518879332,0.321143041491393,-2.45591657604223
"wbf_cent_scaled",1.18288339224823,0.283740588165406,4.16889032301106
"percLoad_cent_scaled",2.14412226388877,0.386238912447498,5.55128495547487
"Treatment.order2",0.0378064265658104,0.173825657845051,0.217496237520419
"size_pc1_scaled",3.12351689811225,0.296850556659767,10.5221864269308
"strokeAmp2_scaled",0.64218573590072,0.447465645579389,1.43516210069983
"wbf2_scaled",-0.297234930756888,0.27018336954504,-1.10012296929082
"percLoad2_scaled",0.769628966022233,0.420715339877257,1.82933421502238
"strokeAmp_cent_scaled:percLoad_cent_scaled",-1.42250701521195,0.583813057231134,-2.43657965095628
"strokeAmp_cent_scaled:size_pc1_scaled",0.199491714240756,0.112947398730975,1.76623557941266
"wbf_cent_scaled:Treatment.order2",-0.584586666613956,0.291724354494621,-2.00390079747262
"wbf_cent_scaled:size_pc1_scaled",-0.463160510641925,0.22003175584422,-2.10497120683725
"percLoad_cent_scaled:Treatment.order2",-0.420111439614112,0.315449717845434,-1.331785751731
"Treatment.order2:size_pc1_scaled",-0.857152669731994,0.261748473780073,-3.27471888318322
